target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_frontier_gap_ev,500,10,1,1755,439,1.0856428059050813,128554,64527,15.832,0.9615355904649538,0.048336088998251515,0.07040507858454766
target_frontier_gap_ev,500,10,2,1755,439,1.082848025020212,128736,64618,15.616,0.9560750599616006,0.05165728453579763,0.07562721342285969
target_frontier_gap_ev,500,10,3,1755,439,1.0743632160592824,128864,64682,15.5,0.9445934504487723,0.052146161835577874,0.08723487887003681
target_frontier_gap_ev,500,10,4,1755,439,1.0685191629454494,128830,64665,15.734,0.9653069698646589,0.048918741841162384,0.0679554092918631
target_frontier_gap_ev,500,10,5,1756,438,1.092089498997666,128652,64576,15.94,0.9411292140749549,0.05151486823413683,0.08912266059604518
target_frontier_gap_ev,750,1,1,1755,439,5.560913859982975,2627394,1314072,30.141333333333332,0.98169184347791,0.034494906302201915,0.04857320505621228
target_frontier_gap_ev,750,1,2,1755,439,5.286202939925715,2626626,1313688,29.954666666666668,0.9780120679124015,0.036990784813971334,0.05350750532568238
target_frontier_gap_ev,750,1,3,1755,439,5.293158252025023,2628964,1314857,29.468,0.9777962921330817,0.03583366560364542,0.055223300852467766
target_frontier_gap_ev,750,1,4,1755,439,5.304221205064096,2624862,1312806,29.86,0.9811317151836892,0.03513532725892254,0.050115160723568315
target_frontier_gap_ev,750,1,5,1756,438,5.316530479001813,2628460,1314605,30.673333333333332,0.9789469435583055,0.036032272450533004,0.05329614582663729
target_frontier_gap_ev,750,2,1,1755,439,3.3590391899924725,1139508,570129,25.714666666666666,0.9795986777359736,0.035842690319991245,0.0512747569751573
target_frontier_gap_ev,750,2,2,1755,439,3.380298670963384,1139330,570040,25.053333333333335,0.9767549646359934,0.038585027289294145,0.05501582318250783
target_frontier_gap_ev,750,2,3,1755,439,3.3353108450537547,1138630,569690,25.064,0.9714384879009754,0.0373377248949631,0.06263256643875485
